symbol,date,sentiment_score,news_count,english_news,chinese_news
600519.SH,2025-10-27,-0.346163809299469,2,2,0
600519.SH,2025-10-29,0.5,2,0,0
600519.SH,2025-10-31,1.0,1,0,0
600519.SH,2025-11-05,-0.562567949295044,1,1,0
600519.SH,2025-11-07,0.016110586002469063,1,1,0
600519.SH,2025-11-10,0.09583195298910141,1,1,0
600519.SH,2025-11-13,-0.05591622740030289,1,1,0
600519.SH,2025-11-15,0.15933693945407867,1,1,0
600519.SH,2025-11-19,-0.911944568157196,1,1,0
600519.SH,2025-11-27,0.17654917389154434,2,2,0
600519.SH,2025-11-29,0.020377127453684807,2,2,0
600519.SH,2025-12-03,0.7781844735145569,1,1,0
600519.SH,2025-12-18,0.0,1,0,0
600519.SH,2025-12-25,0.03219282627105713,1,1,0
600519.SH,2026-01-01,-0.6670415997505188,1,1,0
600519.SH,2026-01-04,1.0,1,0,0
600519.SH,2026-01-11,-0.001094343140721321,2,2,0
600519.SH,2026-01-13,0.3333333333333333,1,0,0
600519.SH,2026-01-22,-0.03118232637643814,2,1,0
600519.SH,2026-01-28,0.835151195526123,1,1,0
600519.SH,2026-01-29,0.0,1,0,0
600519.SH,2026-01-30,0.6861175894737244,2,2,0
600519.SH,2026-02-04,-0.0058806296437978745,1,1,0
600519.SH,2026-02-10,0.09123039245605469,1,1,0
600519.SH,2026-02-14,0.6891622543334961,1,1,0
600519.SH,2026-02-24,0.040591027587652206,1,1,0
600519.SH,2026-02-25,0.0,1,0,0
600519.SH,2026-03-03,0.03212152421474457,1,1,0
600519.SH,2026-03-10,1.0,1,0,0
600519.SH,2026-03-13,-0.15000000000000002,4,0,0
600519.SH,2026-03-19,0.022045191377401352,1,1,0
600519.SH,2026-03-22,0.0010981466621160507,1,1,0
600519.SH,2026-03-27,0.0,1,0,0
600519.SH,2026-03-29,0.3333333333333333,1,0,0
600519.SH,2026-03-30,0.5534039735794067,7,1,0
600519.SH,2026-03-31,0.6326958388090134,4,2,0
600519.SH,2026-04-02,0.0,2,0,0
600519.SH,2026-04-13,-1.0,1,0,0
600519.SH,2026-04-14,0.3333333333333333,3,0,0
600519.SH,2026-04-15,0.0,1,0,0
600519.SH,2026-04-16,-0.045567833266237326,19,4,0
600519.SH,2026-04-17,-0.1283005342597053,28,3,0
600519.SH,2026-04-18,-0.6666666666666666,3,0,0
600519.SH,2026-04-19,-0.31966596841812134,3,1,0
600519.SH,2026-04-20,0.158830455938975,5,3,0
600519.SH,2026-04-21,0.012007872263590494,3,1,0
600519.SH,2026-04-22,0.5,2,0,0
600519.SH,2026-04-23,0.0,2,0,0
600519.SH,2026-04-24,0.42716319203197856,27,3,0
600519.SH,2026-04-25,0.8333333333333334,6,0,0
600519.SH,2026-04-26,0.9737648963928223,3,1,0
600519.SH,2026-04-27,0.6924046104152998,6,2,0
600519.SH,2026-04-28,0.380952380952381,7,0,0
600519.SH,2026-04-29,0.5029089064337313,4,1,0
600519.SH,2026-04-30,-0.01855488990743955,3,1,0
600519.SH,2026-05-02,1.0,1,0,0
600519.SH,2026-05-03,1.0,1,0,0
600519.SH,2026-05-05,-0.05451031525929767,2,1,0
600519.SH,2026-05-06,0.4444444444444444,3,0,0
